,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,9537169,2045,3911,4095
1,4095,4095,4095,9537270,2037,3928,4095
2,4095,4095,4095,9537369,2035,3901,4095
3,4095,4095,4095,9537470,2055,3915,4095
4,4095,4095,4095,9537671,2026,3913,4095
5,4095,4095,4095,9537771,2026,3913,4095
6,4095,4095,4095,9537971,2037,3901,4095
7,4095,4095,4095,9538072,2037,3901,4095
8,4095,4095,4095,9538171,2017,3923,4095
9,4095,4095,4095,9538271,2017,3923,4095
10,4095,4095,4095,9538472,2032,3910,4095
11,4095,4095,4095,9538572,2032,3919,4095
12,4095,4095,4095,9538672,2010,3913,4095
13,4095,4095,4095,9538872,2005,3930,4095
14,4095,4095,4095,9538971,1984,3909,4095
15,4095,4095,4095,9539072,1984,3909,4095
16,4095,4095,4095,9539172,1980,3911,4095
17,4095,4095,4095,9539372,1980,3911,4095
18,4095,4095,4095,9539472,2008,3901,4095
19,4095,4095,4095,9539572,1984,3921,4095
20,4095,4095,4095,9539773,1972,3924,4095
21,4095,4095,4095,9539873,1977,3924,4095
22,4095,4095,4095,9539973,1962,3913,4095
23,4095,4095,4095,9540174,1963,3917,4095
24,4095,4095,4095,9540275,1960,3920,4095
25,4095,4095,4095,9540375,1959,3900,4095
26,4095,4095,4095,9540474,1965,3907,4095
27,4095,4095,4095,9540574,1972,3924,4095
28,4095,4095,4095,9540776,1962,3922,4095
29,4095,4095,4095,9540876,1963,3915,4095
30,4095,4095,4095,9541076,1961,3917,4095
31,4095,4095,4095,9541177,1947,3904,4095
32,4095,4095,4095,9541277,1948,3912,4095
33,4095,4095,4095,9541477,1955,3913,4095
34,4095,4095,4095,9541578,1953,3913,4095
35,4095,4095,4095,9541678,1957,3896,4095
36,4095,4095,4095,9541779,1952,3911,4095
37,4095,4095,4095,9541879,1953,3920,4095
38,4095,4095,4095,9542079,1953,3920,4095
39,4095,4095,4095,9542178,1959,3908,4095
40,4095,4095,4095,9542279,1959,3908,4095
41,4095,4095,4095,9542379,1961,3909,4095
42,4095,4095,4095,9542579,1961,3909,4095
43,4095,4095,4095,9542680,1954,3911,4095
44,4095,4095,4095,9542780,1951,3910,4095
45,4095,4095,4095,9542879,1945,3899,4095
46,4095,4095,4095,9543080,1945,3906,4095
47,4095,4095,4095,9543180,1949,3912,4095
48,4095,4095,4095,9543281,1953,3900,4095
49,4095,4095,4095,9543380,1947,3912,4095
50,4095,4095,4095,9543581,1947,3912,4095
51,4095,4095,4095,9543681,1952,3916,4095
52,4095,4095,4095,9543781,1952,3916,4095
53,4095,4095,4095,9543880,1944,3901,4095
54,4095,4095,4095,9544081,1944,3901,4095
55,4095,4095,4095,9544182,1936,3902,4095
56,4095,4095,4095,9544281,1918,3898,4095
57,4095,4095,4095,9544381,1953,3895,4095
58,4095,4095,4095,9544581,1937,3910,4095
59,4095,4095,4095,9544681,1941,3895,4095
60,4095,4095,4095,9544781,1923,3912,4095
61,4095,4095,4095,9544981,1911,3903,4095
62,4095,4095,4095,9545081,1911,3903,4095
63,4095,4095,4095,9545181,1911,3908,4095
64,4095,4095,4095,9545282,1911,3908,4095
65,4095,4095,4095,9545483,1912,3897,4095
66,4095,4095,4095,9545583,1912,3897,4095
67,4095,4095,4095,9545683,1910,3903,4095
68,4095,4095,4095,9545883,1930,3895,4095
69,4095,4095,4095,9545983,1932,3897,4095
70,4095,4095,4095,9546083,1925,3911,4095
71,4095,4095,4095,9546184,1924,3891,4095
72,4095,4095,4095,9546384,1911,3885,4095
73,4095,4095,4095,9546483,1907,3901,4095
74,4095,4095,4095,9546684,1895,3899,4095
75,4095,4095,4095,9546784,1900,3885,4095
76,4095,4095,4095,9546885,1885,3893,4095
77,4095,4095,4095,9546984,1907,3897,4095
78,4095,4095,4095,9547185,1898,3885,4095
79,4095,4095,4095,9547285,1875,3885,4095
80,4095,4095,4095,9547384,1877,3887,4095
81,4095,4095,4095,9547485,1869,3891,4095
82,4095,4095,4095,9547685,1872,3888,4095
83,4095,4095,4095,9547785,1879,3898,4095
84,4095,4095,4095,9547884,1877,3897,4095
85,4095,4095,4095,9548084,1881,3889,4095
86,4095,4095,4095,9548185,1881,3888,4095
87,4095,4095,4095,9548284,1881,3888,4095
88,4095,4095,4095,9548485,1881,3895,4095
89,4095,4095,4095,9548585,1881,3895,4095
90,4095,4095,4095,9548685,1883,3900,4095
91,4095,4095,4095,9548886,1900,3888,4095
92,4095,4095,4095,9548986,1888,3897,4095
93,4095,4095,4095,9549086,1893,3883,4095
94,4095,4095,4095,9549186,1859,3896,4095
95,4095,4095,4095,9549386,1854,3885,4095
96,4095,4095,4095,9549486,1865,3891,4095
97,4095,4095,4095,9549586,1869,3896,4095
98,4095,4095,4095,9549787,1865,3888,4095
99,4095,4095,4095,9549886,1863,3895,4095
100,4095,4095,4095,9550386,1849,3888,4095
101,4095,4095,4095,9550587,1849,3888,4095
102,4095,4095,4095,9550688,1837,3888,4095
103,4095,4095,4095,9550787,1839,3890,4095
104,4095,4095,4095,9550987,1834,3887,4095
105,4095,4095,4095,9551088,1851,3887,4095
106,4095,4095,4095,9551188,1835,3888,4095
107,4095,4095,4095,9551387,1835,3888,4095
108,4095,4095,4095,9551487,1854,3879,4095
109,4095,4095,4095,9551587,1854,3879,4095
110,4095,4095,4095,9551687,1823,3865,4095
111,4095,4095,4095,9551888,1825,3875,4095
112,4095,4095,4095,9551988,1832,3882,4095
113,4095,4095,4095,9552089,1787,3871,4095
114,4095,4095,4095,9552189,1790,3880,4095
115,4095,4095,4095,9552389,1797,3881,4095
116,4095,4095,4095,9552588,1792,3884,4095
117,4095,4095,4095,9552689,1792,3875,4095
118,4095,4095,4095,9552788,1788,3876,4095
119,4095,4095,4095,9552888,1785,3872,4095
120,4095,4095,4095,9553088,1785,3872,4095
121,4095,4095,4095,9553189,1779,3864,4095
