,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,3649929,1499,3891,4095
1,4095,4095,4095,3650028,1499,3891,4095
2,4095,4095,4095,3650128,3347,3827,4095
3,4095,4095,4095,3650228,3347,3827,4095
4,4095,4095,4095,3650428,4095,4095,4095
5,4095,4095,4095,3650528,4061,4095,4095
6,4095,4095,4095,3650628,4071,4095,4095
7,4095,4017,3995,3650830,3820,4095,4095
8,4095,4095,4095,3650930,3724,3704,4095
9,4095,4095,4095,3651029,3744,3424,4095
10,4095,4095,4095,3651230,3740,3565,4095
11,4095,4095,4095,3651329,3796,3737,4095
12,4095,4095,4095,3651429,3845,3989,4095
13,4095,4095,4095,3651529,3845,3989,4095
14,4061,4095,4095,3651730,4095,4095,4095
15,4095,4095,4095,3651831,4095,4095,4095
16,4095,4095,4095,3651930,4095,4095,4095
17,4095,4095,4095,3652030,3744,3804,4095
18,4095,4095,4095,3652230,3728,3687,4095
19,4095,4095,4095,3652330,3811,3640,4095
20,4095,4095,4095,3652430,3721,3672,4095
21,4095,4095,4095,3652631,3763,3737,4095
22,4095,4095,4095,3652730,3853,4095,4095
23,4095,4044,4095,3652831,4095,4095,4095
24,4095,4095,4095,3653031,4095,4095,4095
25,4095,4095,4095,3653132,4095,4095,4095
26,4095,4095,4095,3653232,3816,4095,4095
27,4095,4095,4095,3653432,3862,3789,4095
28,4095,4095,4095,3653533,3908,3795,4095
29,4095,4095,4095,3653633,3877,3875,4095
30,4095,4095,4095,3653733,3944,4095,4095
31,4095,4063,4095,3653933,4095,4095,4095
32,4095,4095,4095,3654034,4095,4095,4095
33,4095,4095,4095,3654133,4095,4095,4095
34,3979,4025,4095,3654233,4095,4095,4095
35,4095,4095,4095,3654434,3936,4095,4095
36,4095,4095,4095,3654535,3852,3993,4095
37,4095,4095,4095,3654634,3759,3818,4095
38,4095,4095,4095,3654835,3831,3837,4095
39,4095,4095,4095,3654935,3921,3752,4095
40,4095,4095,4095,3655035,4069,4095,4095
41,4095,4095,4095,3655135,4095,4095,4095
42,4095,4095,4095,3655335,4095,4095,4095
43,4095,4095,4095,3655435,4091,4095,4095
44,4095,4095,4095,3655535,4095,4095,4095
45,4095,4095,4095,3655736,3866,4020,4095
46,4095,4095,4095,3655837,3866,4020,4095
47,4095,4095,4095,3655937,3789,3991,4095
48,4095,4095,4095,3656037,3768,4083,4095
49,4095,4095,4095,3656237,4049,4095,4095
50,4095,4095,4095,3656337,4095,4095,4095
51,4095,4095,4095,3656438,4095,4095,4095
52,4095,4095,4095,3656637,4095,4095,4095
53,4095,4095,4095,3656737,4095,4095,4095
54,4095,4095,4095,3656838,3785,3981,4095
55,4095,4095,4095,3656937,3679,3732,4095
56,3997,4047,4038,3657038,3685,3921,4095
