,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,3677150,3379,3911,4095
1,4095,4095,4095,3677250,1069,3217,4095
2,4095,4095,4095,3677350,1095,3039,4095
3,4095,4095,4095,3677449,2251,3208,4095
4,3956,3439,4095,3677649,4095,4095,4095
5,4027,3687,4095,3677750,4095,4095,4095
6,4095,4095,4095,3677952,4095,4095,4095
7,4095,4095,4095,3678052,4095,4095,4095
8,4095,4095,4095,3678151,1344,3752,4095
9,4095,4095,4095,3678351,1344,3752,4095
10,4095,4095,4095,3678451,1065,3723,4095
11,4095,4095,4095,3678552,3624,3735,4095
12,4095,3755,4095,3678752,3904,4095,4095
13,3877,3805,4095,3678852,4039,4095,4095
14,4095,4095,4095,3678951,4095,4095,4095
15,4095,4095,4095,3679151,4095,4095,4095
16,4095,4095,4095,3679252,3899,4095,4095
17,4095,4095,4095,3679352,983,3991,4095
18,4095,4095,4095,3679553,636,3934,4095
19,4095,4095,4095,3679653,1272,3872,4095
20,4095,4095,4095,3679754,3763,3964,4095
21,3821,3791,4095,3679954,4095,4095,4095
22,4093,4095,4095,3680055,4095,4095,4095
23,4095,4095,4095,3680455,1401,3376,4095
24,4095,4095,4095,3680655,1291,3397,4095
25,4095,4095,4095,3680755,3669,3525,4095
26,4095,3913,4095,3680855,4060,4095,4095
27,4095,4095,4095,3681056,4060,4095,4095
28,4095,4095,4095,3681155,4095,4095,4095
29,4095,4095,4095,3681255,4095,4095,4095
30,4095,4095,4095,3681455,1419,3751,4095
31,4095,4095,4095,3681555,883,3420,4095
32,4095,4095,4095,3681755,1419,3480,4095
33,4095,3655,4095,3681856,3725,3448,4095
34,4095,3940,4095,3681956,3996,4095,4095
35,4095,4095,4095,3682056,4095,4095,4095
36,4095,4095,4095,3682256,4095,4095,4095
37,4095,4095,4095,3682356,3952,4095,4095
38,4095,4095,4095,3682456,1351,3884,4095
39,4095,4095,3999,3682657,1280,3168,4073
40,4095,3543,4095,3682757,3936,4095,4095
41,3800,3439,4009,3682856,4095,4095,4095
42,4095,4095,4095,3683056,4095,4095,4095
43,4095,4095,4095,3683156,1658,3859,4095
44,4095,4095,4095,3683256,1658,3859,4095
45,4095,4095,4095,3683357,1432,3503,4095
46,4095,4095,4095,3683556,1432,3503,4095
47,4095,3727,4095,3683657,3979,4095,4095
48,4095,3859,4071,3683857,4069,4095,4095
49,4095,4095,4095,3683957,4095,4095,4095
50,4095,4095,4095,3684057,4095,4095,4095
51,4095,4095,4095,3684258,3857,4064,4095
52,4095,4095,4095,3684358,1353,3869,4095
53,4095,4095,4095,3684457,3632,3770,4095
54,4057,3940,4095,3684658,3632,3770,4095
55,4095,3995,4095,3684758,4095,4095,4095
56,4095,4095,4095,3684858,3957,4095,4095
57,4095,4095,4095,3685058,3957,4095,4095
58,4095,4095,4095,3685158,1129,3659,4084
59,4095,4095,4095,3685259,1129,3659,4084
60,4095,4095,4095,3685459,3747,3845,4095
61,4095,3949,4095,3685560,4081,4095,4095
62,4095,4095,4095,3685660,4095,4095,4095
63,4095,4095,4095,3685860,4067,4095,4095
64,4095,4095,4095,3685959,2153,3803,4095
65,4095,4095,4095,3686059,1387,3242,4095
66,4095,4095,4095,3686159,3648,3245,4095
67,4095,4095,4095,3686359,3888,4095,4095
68,4095,4095,4095,3686459,4095,4095,4095
69,4095,4095,4095,3686659,1811,3520,4095
70,4095,4095,4095,3686760,1811,3520,4095
71,4095,3911,4095,3686959,3725,4095,4095
72,4095,3992,4095,3687059,3725,4095,4095
73,4095,4095,4095,3687260,4095,4095,4095
74,4095,4095,4095,3687360,3624,3848,4064
75,4095,4095,4095,3687560,1934,3437,4095
76,4095,4095,4095,3687661,3817,3949,4095
77,3994,3882,4095,3687761,3817,3949,4095
78,4095,4095,4095,3687962,4095,4095,4095
79,4095,4095,4095,3688063,4095,4095,4095
80,4095,4095,4095,3688162,2919,3945,4095
81,4095,4095,4095,3688262,1089,3632,4095
82,4095,4095,4095,3688463,1697,3781,4095
83,4095,3935,4095,3688564,3702,3979,4095
84,4060,3695,4095,3688664,4095,4095,4095
85,4095,4095,4095,3688866,4095,4095,4095
86,4095,4095,4095,3688965,4095,4095,4095
87,4095,4095,4095,3689065,3803,4095,4095
