,heel1,ball11,ball12,time,heel2,ball21,ball22
0,3919,3375,4095,2796285,993,3749,4095
1,3927,3375,4095,2796484,985,3725,4095
2,3939,3353,4095,2796584,991,3748,4095
3,3931,3353,4095,2796684,987,3721,4095
4,3928,3308,4095,2796784,1069,3760,4095
5,3935,3363,4095,2796984,954,3719,4095
6,3882,3387,4095,2797085,973,3756,4095
7,3888,3383,4095,2797184,955,3755,4095
8,3927,3385,4095,2797285,983,3731,4095
9,3935,3417,4095,2797485,1008,3939,4095
10,3929,3320,4095,2797584,983,3937,4095
11,3879,3345,4095,2797685,1003,3767,4095
12,3894,3326,4095,2797884,936,3867,4095
13,3925,3373,4095,2798085,952,3723,4095
14,3901,3380,4095,2798185,992,3897,4095
15,3913,3384,4095,2798285,992,3897,4095
16,3917,3328,4095,2798385,1032,3815,4095
17,3872,3395,4095,2798586,969,3719,4095
18,3939,3338,4095,2798685,967,3695,4095
19,3884,3386,4095,2798785,965,3708,4095
20,3869,3326,4095,2798985,940,3693,4095
21,3896,3411,4095,2799085,945,3799,4095
22,3924,3411,4095,2799185,967,3688,4095
23,3916,3328,4095,2799286,965,3901,4095
24,3923,3326,4095,2799486,949,3755,4095
25,3935,3390,4061,2799586,963,3835,4095
26,3929,3328,4095,2799685,924,3688,4095
27,3927,3405,4095,2799886,984,3712,4095
28,3903,3358,4095,2799986,949,3707,4095
29,3941,3413,4095,2800086,928,3703,4095
30,3927,3348,4095,2800185,960,3893,4095
31,3925,3342,4095,2800386,945,3697,4095
32,3870,3433,4095,2800486,939,3704,4095
33,3896,3429,4095,2800586,1013,3825,4095
34,3578,3099,4093,2800687,1013,3835,4095
35,3878,3423,4095,2801187,927,3783,4095
36,3895,3419,4095,2801388,929,3672,4095
37,3883,3368,4095,2801488,929,3672,4095
38,3880,3360,4095,2801589,955,3775,4095
39,3913,3359,4095,2801688,955,3775,4095
40,3931,3368,4095,2801889,945,3693,4095
41,3943,3454,4095,2801990,931,3684,4095
42,3915,3388,4095,2802089,942,3679,4095
43,3897,3384,4095,2802189,957,3705,4095
44,3948,3370,4095,2802389,964,3689,4095
45,3884,3431,4095,2802489,916,3667,4095
46,3928,3373,4095,2802590,914,3685,4095
47,3918,3389,4095,2802689,921,3703,4095
48,3910,3422,4095,2802892,905,3685,4095
49,3919,3389,4095,2802991,989,3899,4095
50,3912,3439,4095,2803092,935,3696,4095
51,3943,3437,4095,2803191,945,3707,4095
52,3923,3427,4095,2803291,951,3707,4095
53,3929,3429,4095,2803492,951,3675,4095
54,3937,3433,4095,2803592,957,3692,4095
55,3919,3392,4095,2803692,921,3688,4095
56,3925,3431,4095,2803793,921,3656,4095
57,3931,3428,4095,2803995,936,3673,4095
58,3891,3397,4095,2804095,1034,3831,4095
59,3935,3376,4095,2804196,993,3721,4095
60,3924,3360,4095,2804295,931,3733,4095
61,3588,3096,4038,2804496,953,3731,4095
62,3935,3360,4095,2804596,954,3700,4095
63,3871,3435,4095,2804696,926,3643,4095
64,3868,3372,4095,2804797,985,3723,4095
65,3872,3417,4095,2804996,924,3669,4095
66,3923,3392,4095,2805096,977,3687,4095
67,3899,3387,4095,2805198,1035,3696,4095
68,3903,3324,4095,2805298,946,3675,4095
69,3915,3381,4095,2805498,928,3898,4095
70,3915,3360,4095,2805598,940,3900,4095
71,3913,3384,4095,2805698,995,3868,4095
72,3927,3427,4095,2805798,995,3868,4095
73,3910,3384,4095,2806000,943,3665,4095
74,3939,3437,4095,2806100,976,3693,4095
75,3957,3456,4095,2806200,1100,3847,4095
76,3963,3408,4095,2806300,1040,3645,4095
77,3940,3414,4095,2806501,1016,3695,4095
78,3901,3431,4095,2806600,1005,3675,4095
79,3955,3447,4095,2806701,992,3883,4095
80,3933,3443,4095,2806801,980,3667,4095
81,3911,3423,4095,2807001,1015,3729,4095
82,3935,3427,4095,2807102,921,3639,4095
83,3919,3429,4095,2807201,953,3879,4095
84,3915,3356,4095,2807702,939,3703,4095
85,3913,3340,4095,2807801,939,3703,4095
86,3918,3325,4095,2807902,947,3696,4095
87,3879,3377,4095,2808002,949,3725,4095
88,3881,3349,4095,2808101,941,3716,4095
89,3850,3407,4095,2808301,943,3688,4095
90,3915,3391,4095,2808402,939,3632,4095
91,3863,3327,4095,2808502,936,3865,4095
92,3915,3389,4095,2808602,983,3828,4095
93,3560,3087,4073,2808802,983,3828,4095
94,3848,3339,4095,2808901,1015,3783,4095
95,3893,3383,4095,2809002,1015,3783,4095
96,3891,3389,4095,2809103,904,3656,4095
97,3865,3409,4095,2809302,904,3656,4095
98,3931,3400,4095,2809402,945,3651,4095
99,3921,3400,4095,2809502,950,3696,4095
100,3863,3377,4095,2809602,1019,3771,4095
101,3914,3327,4095,2809804,945,3736,4095
102,3889,3401,4095,2809905,932,3704,4095
103,3915,3348,4095,2810006,927,3676,4095
104,3919,3383,4095,2810105,925,3674,4095
105,3897,3312,4095,2810305,925,3674,4095
106,3869,3347,4095,2810405,933,3621,4095
107,3883,3397,4095,2810505,933,3621,4095
108,3915,3385,4095,2810606,925,3656,4095
109,3904,3322,4095,2810806,925,3656,4095
110,3892,3379,4095,2810906,939,3672,4095
