,heel1,ball11,ball12,time,heel2,ball21,ball22
0,3609,3259,4095,1402055,4095,4095,4095
1,3893,3294,4095,1402156,4095,4095,4095
2,4063,4066,4095,1402355,4095,4095,4095
3,4095,4095,4095,1402455,4095,4095,4095
4,4095,4095,4095,1402556,4095,4095,4095
5,4095,4095,4095,1402656,672,3829,4095
6,4095,4095,4095,1402858,881,4014,4095
7,4095,4095,4095,1402958,1675,3734,4095
8,4095,4069,4095,1403157,3482,3727,4095
9,3631,3977,4095,1403257,4095,4095,4095
10,3647,3632,4095,1403357,4095,4095,4095
11,3811,3259,4095,1403457,4095,4095,4095
12,4093,3735,4095,1403658,4095,4095,4095
13,4095,4095,4095,1403758,4095,4095,4095
14,4095,4095,4095,1403858,4095,4095,4095
15,4095,4095,4095,1403957,1399,4095,4095
16,4095,4095,4095,1404160,1520,4064,4095
17,4095,4095,4095,1404260,3891,3865,4095
18,4095,4095,4095,1404360,4083,3827,4095
19,4095,3871,4095,1404459,4095,3983,4095
20,3406,3853,4095,1404659,4095,4095,4095
21,3551,3788,4095,1404759,4095,4095,4095
22,3589,3643,4095,1404859,4095,4095,4095
23,3947,3589,4095,1405060,4095,4095,4095
24,4095,4095,4095,1405160,4095,4095,4095
25,4095,4095,4095,1405260,1001,4095,4095
26,4095,4095,4095,1405360,1001,4095,4095
27,4095,4095,4095,1405560,1306,3987,4095
28,4095,4095,4095,1405661,1444,3921,4095
29,4095,4095,4095,1405761,1840,4095,4095
30,3765,3881,4095,1405861,4095,4077,4095
31,3550,3320,4095,1406062,4095,4095,4095
32,3427,3033,4095,1406162,4095,4095,4095
33,3784,3294,4095,1406261,4095,4095,4095
34,4015,3539,4095,1406362,4095,4095,4095
35,4095,4095,4095,1406561,4095,4095,4095
36,4095,4095,4095,1406662,4095,4095,4095
37,4095,4095,4095,1406762,993,3755,4095
38,4095,4095,4095,1406861,993,3755,4095
39,4095,4095,4095,1407062,1832,4095,4095
40,4095,4095,4095,1407163,2083,4029,4095
41,3787,3751,4095,1407263,4095,4095,4073
42,3450,3263,4095,1407363,4037,4095,4095
43,3532,3247,4095,1407462,4095,4095,4095
44,3956,3771,4095,1407663,4095,4095,4095
45,4095,4095,4095,1407763,4095,4095,4095
46,4095,4095,4095,1407863,4095,4095,4095
47,4095,4095,4095,1408063,1267,3819,4095
48,4095,4095,4095,1408164,1267,3819,4095
49,4095,4095,4095,1408264,1804,3804,4095
50,4095,4095,4095,1408364,1952,3814,4095
51,3823,3941,4095,1408565,4095,3793,4095
52,3655,3602,4095,1408666,4095,4095,4095
53,3700,3411,4095,1408766,4095,4095,4095
54,3763,3339,4095,1408865,4095,4095,4095
55,4095,4095,4095,1409066,4095,4095,4095
56,4095,4095,4095,1409166,4095,4095,4095
57,4095,4095,4095,1409267,1152,4095,4095
58,4095,4095,4095,1409468,1327,4095,4095
59,4095,4095,4095,1409568,1968,4088,4095
60,4095,4095,4095,1409668,2455,3997,4095
61,3862,3503,4095,1409870,3613,4027,4095
62,3627,3723,4095,1409970,4072,3944,3973
63,3606,3711,4095,1410069,4095,4095,4095
64,3708,3619,4095,1410170,4095,4095,4095
65,4095,4095,4095,1410671,4095,4095,4095
66,4084,4086,4095,1410771,1161,4065,4095
67,4095,4095,4095,1410871,1161,4065,4095
68,4095,4095,4095,1411070,1984,4025,4095
69,4095,4095,4095,1411170,1984,4025,4095
70,3369,3615,4095,1411271,4095,4095,4095
71,3607,3387,4095,1411371,4095,4095,4095
72,3924,3223,4095,1411572,4095,4095,4095
73,4003,3507,4095,1411673,4095,4095,4095
74,4095,4095,4095,1411773,4095,4095,4095
75,4095,4095,4095,1411873,4095,4095,4095
76,4095,4095,4095,1412072,757,4095,4095
77,4074,4095,4095,1412172,561,4095,4095
78,4095,4095,4095,1412273,304,4095,4095
79,4095,4095,4095,1412373,304,4095,4095
80,3760,4095,4095,1412573,3167,3935,4095
81,3399,3705,4095,1412673,3167,3935,4095
82,3435,3480,4095,1412773,4095,4095,4095
83,3756,3423,4095,1412873,4095,4095,4095
84,3895,3449,4095,1412973,4095,4095,4095
85,4095,4095,4095,1413173,4095,4095,4095
86,4095,4095,4095,1413274,4095,4095,4095
87,4095,4095,4095,1413373,1159,4095,4095
88,4095,4095,4095,1413473,789,4095,4095
89,4095,4095,4095,1413674,883,4095,4095
90,4095,4095,4095,1413775,1175,3928,4095
91,4095,4095,4095,1413874,1371,4011,4095
92,4095,4095,4095,1413974,2618,3920,4095
93,3494,3667,4095,1414175,4095,4088,4095
94,3563,3533,4095,1414274,4095,4095,4095
95,3657,3452,4095,1414374,4095,4095,4095
96,4055,4095,4095,1414576,4095,4095,4095
97,4095,4095,4095,1414677,4095,4095,4095
98,4095,4095,4095,1414777,4095,4095,4095
99,4095,4095,4095,1414877,1503,4095,4095
100,4095,4095,4095,1415077,1293,4095,4095
101,4095,4095,4095,1415177,1491,4095,4095
102,4095,4095,4095,1415278,1575,4092,4095
103,4084,4070,4095,1415378,2032,4076,4095
104,3719,3759,4095,1415577,3179,3950,4095
105,3453,3787,4095,1415678,4094,4095,4095
106,3483,3765,4095,1415777,4095,4095,4095
107,3529,3560,4095,1415877,4095,4095,4095
108,3603,3479,4095,1415978,4095,4095,4095
109,4072,3709,4095,1416177,4095,4095,4095
110,4095,4095,4095,1416277,1520,4095,4095
111,4095,4095,4095,1416378,991,4095,4095
112,4095,4095,4095,1416578,880,4088,4095
113,4095,4095,4095,1416679,1120,4095,4095
114,4095,4095,4095,1416779,1488,4067,4095
115,4095,4095,4095,1416880,2680,3856,4095
116,4031,4095,4095,1416980,4095,4095,4083
117,3559,3347,4095,1417180,4052,4095,4095
118,3638,3257,4095,1417279,4095,4095,4095
119,3687,3217,4095,1417379,4095,4095,4095
120,3800,3189,4095,1417480,4095,4095,4095
121,4095,4095,4095,1417681,4095,4095,4095
122,4095,4095,4095,1418181,950,4039,4095
123,4095,4095,4095,1418282,1056,4095,4095
124,4095,4095,4095,1418481,933,3931,4095
125,3669,3403,4095,1418582,1321,3824,4095
126,3560,3230,4095,1418682,4040,3609,4095
127,3679,3192,4095,1418781,4095,4095,4095
128,3823,3104,4095,1418982,4095,4095,4095
129,4080,3614,4095,1419082,4095,4095,4095
130,4095,4095,4095,1419183,4095,4095,4095
131,4095,4095,4095,1419283,4095,4095,4095
132,4095,4095,4095,1419482,1207,4095,4095
133,4095,4095,4095,1419582,1054,4028,4095
134,4095,4095,4095,1419683,1053,4035,4095
135,4095,4095,4095,1419784,1421,4003,4095
136,3647,4053,4095,1419985,2388,3688,4095
137,3452,3806,4095,1420085,4095,3735,4095
138,3645,3757,4095,1420184,4095,4095,4095
139,3955,3881,4095,1420384,4095,4095,4095
140,4095,4095,4095,1420485,4095,4095,4095
141,4095,4095,4095,1420585,4095,4095,4095
142,4095,4095,4095,1420685,1017,4095,4095
143,4095,4095,4095,1420885,1017,4095,4095
144,4095,4095,4095,1420985,1024,3887,4095
145,4095,4095,4095,1421086,1251,4071,4095
146,4095,4095,4085,1421286,1592,3840,4095
147,3775,3628,4095,1421387,4095,4095,3997
148,3613,3828,4095,1421487,4095,4095,4095
149,3740,3759,4095,1421587,4095,4095,4095
150,3833,3739,4095,1421786,4095,4095,4095
151,4095,4095,4095,1421886,4095,4095,4095
152,4095,4095,4095,1421989,1301,4095,4095
153,4095,4095,4095,1422090,1301,4095,4095
154,4095,4095,4095,1422190,921,4095,4095
155,4095,4095,4095,1422390,921,4095,4095
156,4095,4095,4095,1422489,1052,4074,4095
157,4095,4095,4095,1422589,1369,3960,4095
158,3679,3795,4095,1422689,2993,3980,4095
159,3726,3385,4095,1422890,4095,4095,4095
160,3882,3500,4095,1422991,4095,4095,4095
161,4091,3869,4095,1423090,4095,4095,4095
162,4095,4095,4095,1423191,4095,4095,4095
163,4095,4095,4095,1423391,4095,4095,4095
164,4095,4095,4095,1423491,953,4095,4095
165,4095,4095,4095,1423591,953,4095,4095
166,4095,4095,4095,1423692,1355,4095,4095
167,4095,4095,4095,1423891,1645,4059,4095
168,3801,3964,4095,1423992,2402,3776,4095
169,3609,3789,4095,1424091,3624,3877,4012
170,3631,3413,4095,1424191,3783,4095,4095
171,3903,3502,4095,1424392,3927,4095,4095
