,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,3708581,2575,3800,4095
1,3629,3543,4095,3708782,3845,4095,4095
2,3892,3653,4095,3708881,4095,4095,4095
3,3994,3575,4095,3708982,4095,4095,4095
4,4095,3839,4095,3709081,4095,4095,4095
5,3996,4041,4014,3709282,4095,4095,4095
6,4095,4095,4095,3709382,534,4088,4095
7,4095,4095,4095,3709483,534,4088,4095
8,3947,4012,3983,3709683,1541,4076,4095
9,3963,4095,4095,3709784,1541,4076,4095
10,3615,3747,4095,3709884,3992,4095,4095
11,3789,3665,4095,3710084,3992,4095,4095
12,3951,3533,4095,3710183,4095,4095,4095
13,4095,4095,4095,3710384,4095,4095,4095
14,3988,4028,4020,3710484,4095,4095,4095
15,3968,4000,3999,3710584,541,4095,4095
16,4095,4095,4095,3710786,524,3957,4095
17,4095,4095,4095,3710886,1044,4085,4095
18,3769,4095,4095,3710986,3781,3781,4095
19,3615,3631,4095,3711085,3997,4095,4095
20,3865,3638,4095,3711287,4041,4095,4095
21,4073,3593,4095,3711388,4095,4095,4095
22,4095,4095,4095,3711487,4095,4095,4095
23,3996,4012,4024,3711688,635,4095,4095
24,4095,4095,4095,3711787,635,4095,4095
25,4095,4095,4095,3711888,781,4095,4095
26,4095,4095,4095,3712088,781,4095,4095
27,3783,4095,4095,3712189,3740,3719,4095
28,3544,3613,4095,3712288,3740,3719,4095
29,3943,3592,4095,3712488,4095,4095,4095
30,4095,3807,4095,3712588,4095,4095,4095
31,4095,4095,4095,3712688,4095,4095,4095
32,4095,4095,4095,3712888,4095,4095,4095
33,4095,4095,4095,3712989,472,4095,4095
34,3980,4025,4028,3713088,530,3928,4095
35,4095,4095,4095,3713189,924,3984,4095
36,3687,3737,4095,3713389,1648,3793,4095
37,3643,3621,4095,3713488,3734,3916,4095
38,3887,3721,4095,3713588,4095,4095,4095
39,4037,3567,4095,3713689,4095,4095,4095
40,4095,4095,4095,3713889,4095,4095,4095
41,4095,4095,4095,3713989,1487,4095,4095
42,4095,4095,4095,3714089,700,4025,4095
43,4095,4095,4095,3714289,700,4025,4095
44,4095,4095,4095,3714389,1057,3868,4095
45,3757,4024,4095,3714489,3165,3859,4095
46,3440,3688,4095,3714689,4095,4095,4095
47,3943,3630,4095,3714789,4095,4095,4095
48,4095,4095,4095,3714990,4095,4095,4095
49,4095,4095,4095,3715089,4095,4095,4095
50,4095,4095,4095,3715189,637,4095,4095
51,4095,4095,4095,3715289,522,4010,4095
52,4095,4095,4095,3715490,795,4095,4095
53,3823,4095,4095,3715591,1019,4081,4095
54,3658,3613,4095,3715690,3669,3709,4095
55,3812,3677,4095,3715890,3898,4095,4095
56,3565,3519,4095,3715991,4095,4095,4095
57,3977,3943,4019,3716090,4095,4095,4095
58,4095,4095,4095,3716190,2496,4095,4095
59,3984,4036,4024,3716291,2496,4095,4095
60,4095,4095,4095,3716492,690,3951,4095
61,4095,4095,4095,3716592,2237,4041,4095
62,4095,4095,4095,3716692,3733,3909,4095
63,3612,3557,4095,3716892,3873,4095,4095
64,3876,3641,4095,3716993,4095,4095,4095
65,4075,3576,4095,3717094,4095,4095,4095
66,4095,4095,4095,3717193,4095,4095,4095
67,4095,4095,4095,3717393,4095,4095,4095
68,4095,4095,4095,3717493,576,4095,4095
69,4095,4095,4095,3717594,512,3950,4095
70,4095,4095,4095,3717794,867,4015,4095
71,3707,4071,4095,3717895,1808,3856,4095
72,3605,3564,4095,3717994,3704,3832,4095
73,3789,3593,4095,3718095,4094,4095,4095
74,3876,3383,4008,3718296,4095,4095,4095
75,3959,3989,4009,3718396,4095,4095,4095
76,4095,4095,4095,3718496,4095,4095,4095
77,3978,4029,4026,3718696,554,4057,4095
78,4095,4095,4095,3718795,554,4057,4095
79,4095,4095,4095,3718895,1251,3992,4095
80,4095,4095,4095,3718996,1251,3992,4095
81,3577,3550,4095,3719198,3891,4095,4095
82,3741,3625,4095,3719298,4095,4095,4095
83,4095,3592,4095,3719499,4095,4095,4095
84,4095,4095,4095,3719599,4095,4095,4095
85,4095,4095,4095,3719699,4095,4095,4095
86,4095,4095,4095,3719800,686,4095,4095
87,4095,4095,4055,3720000,523,3931,4095
88,4095,4095,4095,3720101,824,4072,4095
89,3769,4095,4095,3720201,1208,3784,4095
90,3684,3603,4095,3720300,3811,3945,4095
91,3673,3611,4095,3720501,4095,4095,4095
92,4039,3555,4095,3720602,4095,4095,4095
93,4095,4095,4095,3720701,4095,4095,4095
94,3989,4030,3996,3720801,4095,4095,4095
95,4095,4095,4095,3721002,551,4095,4095
96,4095,4095,4095,3721103,796,4027,4095
97,4095,4095,4095,3721203,796,4027,4095
98,3683,4091,4095,3721403,1335,3856,4095
99,3577,3592,4095,3721503,3660,3722,4095
100,3671,3620,4095,3721603,4023,4095,4095
101,4095,3578,4095,3721803,4095,4095,4095
102,4095,4095,4095,3721903,4095,4095,4095
103,4095,4095,4095,3722104,3877,4095,4095
104,4095,4095,4095,3722205,473,3859,4095
105,4095,4095,4095,3722405,696,3886,4095
106,4095,4095,4043,3722506,1023,3992,4095
107,3565,3561,4095,3722707,3951,4095,4083
108,3815,3625,4095,3722808,4072,4095,4095
109,3987,3560,4095,3722908,4095,4095,4095
110,4095,3911,4095,3723008,4095,4095,4095
111,4095,4095,4095,3723108,4095,4095,4095
112,4095,4095,4095,3723308,792,4095,4095
113,4095,4095,4095,3723408,787,4095,4095
