,heel1,ball11,ball12,time,heel2,ball21,ball22
0,3591,2989,3985,820605,3621,4095,4095
1,3678,3303,4006,820805,3513,4095,4095
2,3692,3304,4006,820905,3547,4095,4095
3,3711,3323,4009,821005,3517,4095,4095
4,3748,3320,4004,821105,3619,4095,4095
5,3655,3272,4007,821306,3605,4095,4095
6,3623,3257,4005,821406,3636,4095,4095
7,3589,3275,4009,821505,3636,4095,4095
8,3576,3275,4011,821605,3625,4095,4095
9,3635,3278,4005,821805,3520,4095,4095
10,3631,3263,4005,821905,3576,4095,4095
11,3590,3275,4004,822005,3537,4095,4095
12,3272,3193,3992,822105,3531,4095,4095
13,3554,3239,3999,822305,3569,4095,4095
14,3541,3231,4000,822406,3563,4095,4095
15,3547,3231,4004,822506,3576,4095,4095
16,3543,3229,3999,822606,3488,4095,4095
17,3576,3223,4003,822807,3621,4095,4095
18,3601,3236,4005,822907,3608,4095,4095
19,3559,3211,3997,823006,3620,4095,4095
20,3518,2953,3967,823207,3619,4095,4095
21,3529,3197,4003,823308,3537,4095,4095
22,3526,3206,3994,823408,3613,4095,4095
23,3529,3297,3995,823508,3541,4095,4095
24,3513,3287,4003,823608,3504,4095,4095
25,3213,2950,3647,823808,3532,4095,4095
26,3507,3219,3996,823909,3625,4095,4095
27,3509,2885,3963,824009,3509,4095,4095
28,3512,3207,3999,824108,3564,4095,4095
29,3500,3197,3989,824309,3488,4095,4095
30,3480,3181,3974,824410,3628,4095,4095
31,3501,3198,3996,824510,3533,4095,4095
32,3488,3195,3991,824610,3496,4095,4095
33,3496,3187,3989,824812,3496,4095,4095
34,3495,3191,3991,824912,3557,4095,4095
35,3493,3189,3991,825013,3624,4095,4095
36,3496,3189,3989,825112,3559,4095,4095
37,3495,3181,3989,825412,3560,4095,4095
38,3493,2926,3964,825513,3567,4095,4095
39,3488,3178,3993,825612,3548,4095,4095
40,3488,3179,3989,825713,3624,4095,4095
41,3487,3176,3987,825913,3544,4095,4095
42,3487,3175,3991,826013,3564,4095,4095
43,3486,3173,3988,826113,3627,4095,4095
44,3486,3163,3993,826213,3627,4095,4095
45,3485,3165,3981,826414,3575,4095,4095
46,3485,3167,3989,826515,3577,4095,4095
47,3485,3171,3989,826614,3565,4095,4095
48,3483,3163,3987,826715,3603,4095,4095
49,3483,3164,3987,826914,3589,4095,4095
50,3463,3150,3959,827015,3488,4095,4095
51,3481,3164,3987,827115,3571,4095,4095
52,3485,3189,3989,827316,3497,4095,4095
53,3511,3197,3992,827416,3625,4095,4095
54,3539,3195,3987,827515,3618,4095,4095
55,3579,3197,3987,827615,3622,4095,4095
56,3285,3165,3955,827818,3573,4095,4095
57,3582,3175,3975,827918,3544,4095,4095
58,3581,3177,3979,828018,3576,4095,4095
59,3559,3181,3976,828219,3572,4095,4095
60,3452,3399,3991,828720,3588,4095,4095
61,3431,3443,3993,828820,3535,4095,4095
62,3433,3478,3991,828919,3535,4095,4095
63,3551,3399,3985,829119,3488,4095,4095
64,3543,3374,3987,829219,3488,4095,4095
65,3531,3355,3979,829320,3500,4095,4095
66,3495,3320,3946,829419,3500,4095,4095
67,3495,3325,3985,829620,3509,4095,4095
