,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,684351,599,3594,4095
1,4095,4095,4095,684551,482,3881,4095
2,4095,4095,4095,684652,547,3555,4095
3,4095,4095,4095,684752,824,3033,4095
4,3255,2803,3749,684952,3037,3047,4095
5,4095,4095,4095,685453,3304,4095,4095
6,4095,4095,4095,685552,583,3547,4095
7,4095,4095,4095,685652,583,3547,4095
8,4095,4095,4095,685752,655,3511,4095
9,3647,3147,4095,685952,1229,3053,4095
10,3427,3192,4095,686053,3079,2829,4095
11,3539,3447,4095,686153,3369,4095,4095
12,3731,3886,4095,686253,3432,4095,4095
13,4095,4095,4095,686352,3385,4095,4095
14,4095,4095,4095,686553,717,3020,4095
15,4095,4095,4095,686654,641,3621,4095
16,4095,4095,4095,686753,887,3040,4095
17,4095,4095,4095,686853,887,3040,4095
18,3443,3094,4095,687054,3111,2493,4095
19,3421,3169,4095,687153,3200,3996,4095
20,3577,3295,4095,687254,3465,4095,4095
21,3742,3641,4095,687354,3451,4095,4095
22,4095,4095,4095,687555,3395,4095,4095
23,4095,4095,4095,687654,3180,3317,4095
24,4095,4095,4095,687755,848,2993,4095
25,4095,4095,4095,687855,993,2957,4095
26,4095,4095,4095,688055,1838,2737,4095
27,3802,3284,4095,688156,3129,3769,4095
28,3883,4095,4095,688255,3467,4095,4095
29,4095,4095,4095,688456,3467,4095,4095
30,4095,4095,4095,688557,3319,2635,4095
31,4095,4095,4095,688656,3319,2635,4095
32,3801,4095,4095,688757,960,2855,4095
33,4095,4095,4095,688957,1183,3067,4095
34,4095,4095,4095,689057,1509,2703,4095
35,3216,2760,4095,689157,3052,2577,4095
36,3451,3399,4095,689257,3399,4095,4095
37,3549,3273,4095,689356,3404,4095,4095
38,3749,3821,3854,689560,3471,4095,4095
39,4095,4095,4095,689660,3259,3963,4095
40,4095,4095,4095,689759,1103,3573,4095
41,4095,4095,4095,689960,1103,3573,4095
42,4095,4095,4095,690060,1885,3481,4095
43,4095,4095,4095,690160,1885,3481,4095
44,3611,3083,4095,690260,3354,4095,4095
45,4069,4095,4095,690460,3354,4095,4095
46,3942,4095,4095,690561,3376,4095,4095
47,4095,4095,4095,690660,3356,4095,4095
48,4095,4095,4095,690760,2467,2343,4095
49,4095,4095,4095,690962,909,2586,4095
50,4095,4095,4095,691062,972,3179,4095
51,4095,4095,4095,691261,1008,3178,4095
52,3756,3347,4095,691361,3107,3315,4095
53,3653,4025,4095,691462,3383,4095,4095
54,3689,4095,4095,691562,3356,4095,4095
55,4095,4095,4095,691762,3424,4095,4095
