,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,699865,3471,4095,4095
1,4095,4095,4095,699965,3466,4095,4095
2,4095,4095,4095,700066,3424,4095,4095
3,4095,4095,4095,700267,3429,4095,4095
4,4095,4095,4095,700366,3077,3426,4095
5,4095,4095,4095,700466,3077,3426,4095
6,4095,4095,4095,700666,2643,3261,4095
7,3789,3834,3836,700766,2615,3288,4095
8,4095,4095,4095,700866,2609,3257,4095
9,3827,4095,4095,700967,3196,2664,4095
10,4095,4095,4095,701067,3316,3480,4095
11,4095,4095,4095,701269,3560,4095,4095
12,4095,4095,4095,701369,3464,4095,4095
13,4095,4095,4095,701470,3419,4095,4095
14,4095,4095,4095,701671,3481,4095,4095
15,4095,4095,4095,701771,3240,3669,4095
16,4095,4095,4095,701871,3121,3571,4095
17,4095,4095,4095,702072,3156,3417,4095
18,4095,4095,4095,702172,3156,3417,4095
19,4089,3431,4095,702274,3287,3401,4095
20,3987,3310,4095,702477,3287,3401,4095
21,4093,3383,4095,702577,3531,4095,4095
22,4095,3423,4095,702678,3433,4095,4095
23,4095,4095,4095,702778,3509,4095,4095
24,4095,4095,4095,702978,3255,3564,4095
25,3797,3830,4095,703078,1808,3235,4095
26,4095,4095,4095,703178,1668,3436,4095
27,4095,4095,4095,703378,1803,3371,4095
28,4079,3469,4095,703478,1803,3371,4095
29,3896,3224,4095,703578,3272,3057,4095
30,3689,3118,4095,703678,3272,3057,4095
31,3700,3131,4095,703778,3431,4095,4095
32,3931,3231,4095,703979,3445,4095,4095
33,4095,3851,4095,704078,3501,4095,4095
34,4095,4095,4095,704178,3244,3785,4095
35,4095,4095,4095,704279,2202,3560,4095
36,4095,4095,4095,704480,1609,3559,4095
37,4095,4095,4095,704581,1547,3392,4095
38,4095,4095,4095,704681,1456,3484,4095
39,3833,3325,4095,704781,3168,2613,4095
40,3529,3177,4095,704981,3168,2613,4095
41,3565,3175,4095,705080,3504,4095,4095
42,3601,3155,4095,705181,3499,4095,4095
43,3873,3387,4095,705382,3404,4095,4095
44,4095,4095,4095,705482,3319,4095,4095
45,4095,4095,4095,705582,2217,3416,4095
46,4095,4095,4095,705783,1491,3209,4095
47,3515,3053,4095,706282,3184,3309,4095
48,3502,3055,4095,706383,3535,4095,4095
49,3520,3077,4095,706482,3427,4095,4095
50,4005,3437,4095,706683,3391,4095,4095
51,4095,4095,4095,706783,3431,4095,4095
52,4095,4095,4095,706882,3243,4095,4095
53,4095,4095,4095,706982,3029,4057,4095
54,4095,4095,4095,707183,2963,3049,4095
55,3851,3995,4095,707284,3240,2814,4095
56,3659,3255,4095,707385,3255,2787,4095
57,3653,3151,4095,707585,3601,4095,4095
58,3379,2899,4095,707686,3601,4095,4095
