,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,3799,4095,607472,4095,4095,4095
1,4095,3807,4095,607673,4095,4095,4095
2,4095,3820,4095,607773,4095,4095,4095
3,4095,3803,4095,607874,4095,4095,4095
4,4095,3784,4095,607973,4095,4095,4095
5,4095,3790,4095,608074,4095,4095,4095
6,4095,3808,4095,608276,4095,4095,4095
7,4095,3786,4095,608377,4095,4095,4095
8,4095,3808,4095,608476,4095,4095,4095
9,4095,3784,4095,608576,4095,4095,4095
10,4095,3741,4095,608778,4095,4095,4095
11,4095,3784,4095,608877,4095,4095,4095
12,4095,3802,4095,608977,4095,4095,4095
13,4095,3769,4095,609078,4095,4095,4095
14,4095,3771,4095,609278,4095,4095,4095
15,4095,3765,4095,609378,4095,4095,4095
16,4095,3783,4095,609478,4095,4095,4095
17,4095,3775,4095,609678,4095,4095,4095
18,4095,3763,4095,609779,4095,4095,4095
19,4095,3776,4095,609879,4095,4095,4095
20,4095,3758,4095,609979,4095,4095,4095
21,4095,3981,4095,610179,4095,4095,4095
22,4095,3751,4095,610280,4095,4095,4095
23,4095,3755,4095,610380,4081,4095,4095
24,4095,3788,4095,610480,4095,4095,4095
25,4095,3749,4095,610681,4095,4095,4095
26,4095,3763,4095,610780,4095,4095,4095
27,4095,3755,4095,610880,4095,4095,4095
28,4095,3748,4095,610980,4062,4095,4095
29,4095,3768,4095,611181,4095,4095,4095
30,4095,3746,4095,611282,4095,4095,4095
31,4095,3747,4095,611381,4095,4095,4095
32,4095,3740,4095,611481,4095,4095,4095
33,4095,3747,4095,611681,4095,4095,4095
34,4095,3746,4095,611782,4095,4095,4095
35,4095,3756,4095,611881,4095,4095,4095
36,4095,3759,4095,611981,4095,4095,4095
37,4095,3751,4095,612182,4043,4095,4095
38,4095,3755,4095,612281,4095,4095,4095
39,4095,3751,4095,612381,4095,4095,4095
40,4095,3743,4095,612481,4095,4095,4095
41,4095,3759,4095,612581,4032,4095,4095
42,4095,3773,4095,612782,4026,4095,4095
43,4095,3753,4095,612883,4043,4095,4095
44,4095,3759,4095,612982,4095,4095,4095
45,4095,3756,4095,613082,4016,4095,4095
46,4095,3756,4095,613284,4011,4095,4095
47,4095,3723,4095,613385,4095,4095,4095
48,4095,3746,4095,613485,4000,4095,4095
49,4095,3748,4095,613585,3999,4095,4095
50,4095,3756,4095,613786,4095,4095,4095
51,4095,3744,4095,613886,4095,4095,4095
52,4095,3699,4095,613986,4095,4095,4095
53,4095,3741,4095,614086,4095,4095,4095
54,4095,3740,4095,614187,4095,4095,4095
55,4095,3760,4095,614388,4095,4095,4095
56,4095,3734,4095,614488,3997,4095,4095
57,4095,3739,4095,614588,3997,4095,4095
58,4095,3727,4095,614689,4095,4095,4095
59,4095,3736,4095,614888,4076,4095,4095
60,4095,3731,4095,614988,4060,4095,4095
61,4095,3760,4095,615089,4039,4095,4095
62,4095,3760,4095,615288,4095,4095,4095
63,4095,3727,4095,615388,3968,4095,4095
64,4095,3738,4095,615488,4095,4095,4095
65,4095,3739,4095,615589,3962,4095,4095
66,4095,3739,4095,615789,4091,4095,4095
67,4095,3754,4095,615890,4091,4095,4095
68,4095,3720,4095,615989,4085,4095,4095
69,4095,3743,4095,616090,4095,4095,4095
70,4095,3720,4095,616190,4011,4095,4095
71,4095,3756,4095,616391,3991,4095,4095
72,4095,3705,4095,616492,4012,4095,4095
73,4095,3729,4095,616593,3920,4095,4095
74,4095,3716,4095,616693,3965,4095,4095
75,4095,3739,4095,616893,3888,4095,4095
76,4095,3736,4095,616992,4091,4095,4095
77,4095,3739,4095,617092,4023,4095,4095
78,4095,3759,4095,617194,4064,4095,4095
79,4095,3837,4095,617395,4064,4095,4095
80,4095,3868,4095,617494,4014,4095,4095
81,4095,3859,4095,617594,4095,4095,4095
82,4095,3855,4095,617694,4095,4095,4095
83,4095,3865,4095,617894,4095,4095,4095
84,4095,3887,4095,617994,4095,4095,4095
85,4095,3887,4095,618095,4095,4095,4095
86,4095,3855,4095,618195,4095,4095,4095
