,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,1675602,1918,4095,4095
1,4095,4095,4095,1675801,1917,4095,4095
2,4095,4095,4095,1675901,1917,4095,4095
3,4095,4095,4095,1676001,1848,4095,4095
4,4095,4095,4095,1676101,1848,4095,4095
5,4095,4095,4095,1676202,1911,4095,4095
6,4095,4095,4095,1676403,1911,4095,4095
7,4095,4095,4095,1676502,1907,4095,4095
8,4095,4095,4095,1676602,1907,4095,4095
9,4095,4095,4095,1676702,1843,4095,4095
10,4095,4095,4095,1676902,1851,4095,4095
11,4095,4095,4095,1677002,1816,4095,4095
12,4095,4095,4095,1677102,1849,4095,4095
13,4095,4095,4095,1677303,1869,4095,4095
14,4095,4095,4095,1677404,1867,4095,4095
15,4095,4095,4095,1677503,1879,4095,4095
16,4095,4095,4095,1677604,1879,4095,4095
17,4095,4095,4095,1677803,1784,4095,4095
18,4095,4095,4095,1677903,1784,4095,4095
19,4095,4095,4095,1678004,1792,4095,4095
20,4095,4095,4095,1678103,1792,4095,4095
21,4095,4095,4095,1678304,1883,4095,4095
22,4095,4095,4095,1678403,1816,4095,4095
23,4095,4095,4095,1678504,1834,4095,4095
24,4095,4095,4095,1678604,1895,4095,4095
25,4095,4095,4095,1678805,1891,4095,4095
26,4095,4095,4095,1678904,1880,4095,4095
27,4095,4095,4095,1679005,1852,4095,4095
28,4095,4095,4095,1679105,1852,4095,4095
29,4095,4095,4095,1679306,1815,4095,4095
30,4095,4095,4095,1679407,1815,4095,4095
31,4095,4095,4095,1679506,1837,4095,4095
32,4095,4095,4095,1679606,1837,4095,4095
33,4095,4095,4095,1679806,1851,4095,4095
34,4095,4095,4095,1679906,1873,4095,4095
35,4095,4095,4095,1680007,1861,4095,4095
36,4095,4095,4095,1680207,1827,4095,4095
37,4095,4095,4095,1680307,1840,4095,4095
38,4095,4095,4095,1680407,1824,4064,4095
39,4095,4095,4095,1680508,1805,4070,4095
40,4095,4095,4095,1680708,1863,4095,4095
41,4095,4095,4095,1680808,1865,4095,4095
42,4095,4095,4095,1680909,1865,4095,4095
43,4095,4095,4095,1681009,1877,4095,4095
44,4095,4095,4095,1681209,1776,4095,4095
45,4095,4095,4095,1681309,1827,4095,4095
46,4095,4095,4095,1681409,1825,4095,4095
47,4095,4095,4095,1681510,1853,4095,4095
48,4095,4095,4095,1681710,1861,4095,4095
49,4095,4095,4095,1681809,1803,4095,4095
50,4095,4095,4095,1681910,1837,4095,4095
51,4095,4095,4095,1682110,1873,4095,4095
52,4095,4095,4095,1682211,1873,4095,4095
53,4095,4095,4095,1682310,1804,4095,4095
54,4095,4095,4095,1682410,1816,4095,4095
55,4095,4095,4095,1682611,1848,4095,4095
56,4095,4095,4095,1682710,1804,4095,4095
57,4095,4095,4095,1682810,1811,4060,4095
58,4095,4095,4095,1683310,1835,4095,4095
59,4095,4095,4095,1683410,1865,4095,4095
60,4095,4095,4095,1683513,1879,4095,4095
61,4095,4095,4095,1683714,1879,4095,4095
62,4095,4095,4095,1683813,1867,4095,4095
63,4095,4095,4095,1683913,1867,4095,4095
64,4095,4095,4095,1684013,1840,4095,4095
65,4095,4095,4095,1684213,1831,4095,4095
66,4095,4095,4095,1684313,1799,4088,4095
67,4095,4095,4095,1684414,1804,4080,4095
68,4095,4095,4095,1684614,1803,4095,4095
69,4095,4095,4095,1684714,1824,4095,4095
70,4095,4095,4095,1684814,1889,4095,4095
71,4095,4095,4095,1684913,1792,4075,4095
72,4095,4095,4095,1685114,1824,4095,4095
73,4095,4095,4095,1685215,1765,4083,4095
74,4095,4095,4095,1685315,1831,4095,4095
75,4095,4095,4095,1685516,1831,4095,4095
76,4095,4095,4095,1685615,1831,4095,4095
77,4095,4095,4095,1685716,1757,4048,4095
78,4095,4095,4095,1685816,1757,4048,4095
79,4095,4095,4095,1686016,1773,4080,4095
80,4095,4095,4095,1686116,1803,4095,4095
81,4095,4095,4095,1686217,1759,4095,4095
82,4095,4095,4095,1686416,1755,4095,4095
83,4095,4095,4095,1686517,1787,4095,4095
84,4095,4095,4095,1686616,1712,4095,4095
85,4095,4095,4095,1686717,1739,4090,4095
86,4095,4095,4095,1686917,1739,4090,4095
87,4095,4095,4095,1687016,1696,4095,4095
88,4095,4095,4095,1687116,1696,4095,4095
89,4095,4095,4095,1687217,1725,4089,4095
90,4095,4095,4095,1687417,1725,4089,4095
91,4095,4095,4095,1687516,1731,4095,4095
92,4095,4095,4095,1687616,1752,4095,4095
93,4095,4095,4095,1687716,1721,4030,4095
94,4095,4095,4095,1687918,1714,4035,4095
95,4095,4095,4095,1688018,1733,4073,4095
96,4095,4095,4095,1688118,1773,4095,4095
97,4095,4095,4095,1688217,1749,4095,4095
98,4095,4095,4095,1688418,1749,4095,4095
99,4095,4095,4095,1688518,1760,4095,4095
100,4095,4095,4095,1688618,1760,4095,4095
101,4095,4095,4095,1688819,1699,4056,4095
102,4095,4095,4095,1688919,1696,4092,4095
103,4095,4095,4095,1689019,1771,4095,4095
104,4095,4095,4095,1689219,1735,4095,4095
105,4095,4095,4095,1689318,1767,4095,4095
106,4095,4095,4095,1689418,1720,4065,4095
107,4095,4095,4095,1689618,1704,4095,4095
108,4095,4095,4095,1689718,1712,4095,4095
109,4095,4095,4095,1689819,1683,4095,4095
110,4095,4095,4095,1689918,1755,4095,4095
111,4095,4095,4095,1690119,1664,4075,4095
112,4095,4095,4095,1690218,1739,4075,4095
113,4095,4095,4095,1690318,1696,4095,4095
114,4095,4095,4095,1690519,1803,4095,4095
115,4095,4095,4095,1690619,1803,4095,4095
116,4095,4095,4095,1690718,1747,4060,4095
117,4095,4095,4095,1690819,1749,4078,4095
118,4095,4095,4095,1691018,1783,4095,4095
119,4095,4095,4095,1691118,1781,4095,4095
120,4095,4095,4095,1691219,1795,4095,4095
121,4095,4095,4095,1691419,1760,4095,4095
122,4095,4095,4095,1691520,1739,4057,4095
123,4095,4095,4095,1691619,1720,4095,4095
124,4095,4095,4095,1691820,1755,4049,4095
125,4095,4095,4095,1691920,1722,4095,4095
126,4095,4095,4095,1692020,1721,4095,4095
127,4095,4095,4095,1692119,1721,4095,4095
128,4095,4095,4095,1692319,1779,4095,4095
129,4095,4095,4095,1692420,1701,4050,4095
130,4095,4095,4095,1692520,1691,4032,4095
131,4095,4095,4095,1692719,1696,4027,4095
132,4095,4095,4095,1692820,1759,4095,4095
133,4095,4095,4095,1692921,1747,4095,4095
134,4095,4095,4095,1693022,1683,4000,4095
135,4095,4095,4095,1693224,1712,3848,4095
136,4095,4095,4095,1693324,1779,4095,4095
137,4095,4095,4095,1693524,1773,4095,4095
138,4095,4095,4095,1693625,1773,4095,4095
139,4095,4095,4095,1693726,1769,4095,4095
140,4095,4095,4095,1693926,1769,4095,4095
141,4095,4095,4095,1694026,1753,4056,4095
142,4095,4095,4095,1694127,1753,4056,4095
143,4095,4095,4095,1694227,1755,4075,4095
144,4095,4095,4095,1694428,1721,4000,4095
145,4095,4095,4095,1695028,1728,4095,4095
146,4095,4095,4095,1695128,1767,4095,4095
147,4095,4095,4095,1695229,1759,4057,4095
148,4095,4095,4095,1695329,1765,4095,4095
149,4095,4095,4095,1695429,1735,4012,4095
150,4095,4095,4095,1695630,1692,4095,4095
151,4095,4095,4095,1695729,1754,4095,4095
152,4095,4095,4095,1695830,1705,4031,4095
153,4095,4095,4095,1695929,1760,4095,4095
154,4095,4095,4095,1696129,1771,4095,4095
155,4095,4095,4095,1696230,1696,4094,4095
156,4095,4095,4095,1696329,1785,4095,4095
157,4095,4095,4095,1696429,1783,4095,4095
158,4095,4095,4095,1696632,1740,4095,4095
159,4095,4095,4095,1696731,1711,4008,4095
160,4095,4095,4095,1696831,1721,4065,4095
161,4095,4095,4095,1697032,1727,4095,4095
162,4095,4095,4095,1697133,1727,4095,4095
163,4095,4095,4095,1697233,1725,4037,4095
164,4095,4095,4095,1697334,1725,4037,4095
165,4095,4095,4095,1697533,1723,4063,4095
166,4095,4095,4095,1697633,1723,4063,4095
167,4095,4095,4095,1697734,1723,4075,4095
168,4095,4095,4095,1697833,1783,4095,4095
169,4095,4095,4095,1698034,1755,4075,4095
170,4095,4095,4095,1698134,1700,4095,4095
171,4095,4095,4095,1698233,1755,4073,4095
172,4095,4095,4095,1698434,1779,4095,4095
173,4095,4095,4095,1698533,1696,3995,4095
174,4095,4095,4095,1698633,1696,3995,4095
175,4095,4095,4095,1698733,1723,4095,4095
176,4095,4095,4095,1698934,1723,4095,4095
177,4095,4095,4095,1699033,1697,4012,4095
178,4095,4095,4095,1699133,1745,4095,4095
179,4095,4095,4095,1699333,1696,4095,4095
180,4095,4095,4095,1699434,1771,4095,4095
181,4095,4095,4095,1699534,1696,4095,4095
182,4095,4095,4095,1699634,1741,4008,4095
183,4095,4095,4095,1699834,1771,4083,4095
184,4095,4095,4095,1699934,1775,4095,4095
185,4095,4095,4095,1700034,1784,4095,4095
186,4095,4095,4095,1700135,1784,4095,4095
187,4095,4095,4095,1700236,1777,4095,4095
188,4095,4095,4095,1700438,1777,4095,4095
189,4095,4095,4095,1700537,1757,4082,4095
190,4095,4095,4095,1700637,1720,3992,4095
191,4095,4095,4095,1700837,1723,4039,4095
192,4095,4095,4095,1700938,1703,4095,4095
193,4095,4095,4095,1701038,1805,4095,4095
194,4095,4095,4095,1701238,1803,4095,4095
195,4095,4095,4095,1701337,1766,4095,4095
196,4095,4095,4095,1701438,1813,4095,4095
197,4095,4095,4095,1701537,1816,4095,4095
198,4095,4095,4095,1702138,1787,4095,4095
199,4095,4095,4095,1702240,1821,4095,4095
200,4095,4095,4095,1702340,1821,4095,4095
201,4095,4095,4095,1702540,1839,4095,4095
202,4095,4095,4095,1702641,1839,4095,4095
203,4095,4095,4095,1702741,1817,4095,4095
204,4095,4095,4095,1702940,1728,4092,4095
205,4095,4095,4095,1703041,1737,4095,4095
206,4095,4095,4095,1703142,1759,4095,4095
207,4095,4095,4095,1703342,1776,4095,4095
208,4095,4095,4095,1703441,1877,4095,4095
209,4095,4095,4095,1703541,1831,4095,4095
210,4095,4095,4095,1703642,1831,4095,4095
211,4095,4095,4095,1703841,1847,4095,4095
212,4095,4095,4095,1703941,1820,4095,4095
213,4095,4095,4095,1704041,1832,4095,4095
214,4095,4095,4095,1704242,1815,4095,4095
215,4095,4095,4095,1704342,1821,4095,4095
216,4095,4095,4095,1704441,1766,4095,4095
217,4095,4095,4095,1704542,1835,4095,4095
218,4095,4095,4095,1704742,1760,4095,4095
219,4095,4095,4095,1704842,1835,4095,4095
220,4095,4095,4095,1704942,1728,4095,4095
221,4095,4095,4095,1705041,1853,4095,4095
222,4095,4095,4095,1705242,1797,4095,4095
223,4095,4095,4095,1705342,1736,4095,4095
224,4095,4095,4095,1705442,1819,4095,4095
225,4095,4095,4095,1705542,1843,4095,4095
226,4095,4095,4095,1705743,1888,4095,4095
227,4095,4095,4095,1705842,2268,4095,4095
228,4095,4095,4095,1705943,2808,4095,4095
229,4095,4095,4095,1706043,3228,4095,4095
230,4095,4095,4095,1706243,2616,4095,4095
231,4095,4095,4095,1706343,2352,4095,4095
232,4095,4095,4095,1706442,2364,4095,4095
233,4095,4095,4095,1706642,2260,4095,4095
234,4095,4095,4095,1706743,2245,4095,4095
235,4095,4095,4095,1706844,2245,4095,4095
236,4095,4095,4095,1707044,2189,4095,4095
237,4095,4095,4095,1707145,2189,4095,4095
238,4095,4095,4095,1707245,2189,4095,4095
239,4095,4095,4095,1707345,2193,4095,4095
240,4095,4095,4095,1707546,2104,4095,4095
241,4095,4095,4095,1707645,2039,4095,4095
242,4095,4095,4095,1707745,2120,4095,4095
243,4095,4095,4095,1707945,2068,4095,4095
244,4095,4095,4095,1708045,2041,4095,4095
245,4095,4095,4095,1708145,2041,4095,4095
246,4095,4095,4095,1708246,2008,4095,4095
247,4095,4095,4095,1708447,2008,4095,4095
248,4095,4095,4095,1708546,2043,4095,4095
249,4095,4095,4095,1708646,2014,4095,4095
250,4095,4095,4095,1708846,1969,4095,4095
251,4095,4095,4095,1708947,2003,4095,4095
252,4095,4095,4095,1709047,2006,4095,4095
253,4095,4095,4095,1709147,2053,4095,4095
254,4095,4095,4095,1709350,1956,4095,4095
255,4095,4095,4095,1709450,1952,4095,4095
256,4095,4095,4095,1709549,2035,4095,4095
257,4095,4095,4095,1709750,1968,4095,4095
258,4095,4095,4095,1709849,1968,4095,4095
259,4095,4095,4095,1709949,2029,4095,4095
260,4095,4095,4095,1710150,2053,4095,4095
261,4095,4095,4095,1710250,2023,4095,4095
262,4095,4095,4095,1710349,2056,4095,4095
263,4095,4095,4095,1710550,2055,4095,4095
264,4095,4095,4095,1710650,1952,4095,4095
265,4095,4095,4095,1710749,2007,4095,4095
266,4095,4095,4095,1710950,1975,4095,4095
267,4095,4095,4095,1711049,2007,4095,4095
268,4095,4095,4095,1711149,2005,4095,4095
269,4095,4095,4095,1711249,2029,4095,4095
270,4095,4095,4095,1711449,2029,4095,4095
271,4095,4095,4095,1711549,1957,4095,4095
272,4095,4095,4095,1711649,1957,4095,4095
273,4095,4095,4095,1711749,1959,4095,4095
274,4095,4095,4095,1711951,1912,4095,4095
275,4095,4095,4095,1712052,1960,4095,4095
276,4095,4095,4095,1712152,1933,4095,4095
277,4095,4095,4095,1712252,1896,4095,4095
278,4095,4095,4095,1712451,1965,4095,4095
279,4095,4095,4095,1712552,1944,4095,4095
280,4095,4095,4095,1712651,1948,4095,4095
281,4095,4095,4095,1712752,1947,4095,4095
282,4095,4095,4095,1712952,1947,4095,4095
283,4095,4095,4095,1713051,1932,4095,4095
284,4095,4095,4095,1713152,1932,4095,4095
285,4095,4095,4095,1713252,1843,4095,4095
286,4095,4095,4095,1713452,1843,4095,4095
287,4095,4095,4095,1713551,1889,4095,4095
288,4095,4095,4095,1713651,1913,4095,4095
289,4095,4095,4095,1713851,1853,4095,4095
290,4095,4095,4095,1713951,1907,4095,4095
291,4095,4095,4095,1714052,1820,4095,4095
292,4095,4095,4095,1714152,1864,4095,4095
293,4095,4095,4095,1714352,1896,4095,4095
294,4095,4095,4095,1714451,1868,4095,4095
295,4095,4095,4095,1714551,1792,4095,4095
296,4095,4095,4095,1714651,1863,4095,4095
297,4095,4095,4095,1714851,1829,4095,4095
298,4095,4095,4095,1714951,1882,4095,4095
299,4095,4095,4095,1715051,1840,4095,4095
300,4095,4095,4095,1715152,1789,4095,4095
301,4095,4095,4095,1715351,1831,4095,4095
302,4095,4095,4095,1715451,1819,4095,4095
303,4095,4095,4095,1715552,1882,4095,4095
304,4095,4095,4095,1715751,1852,4095,4095
305,4095,4095,4095,1715852,1845,4095,4095
306,4095,4095,4095,1715952,1881,4095,4095
307,4095,4095,4095,1716051,1879,4095,4095
308,4095,4095,4095,1716253,1897,4095,4095
309,4095,4095,4095,1716354,1893,4095,4095
310,4095,4095,4095,1716454,1873,4095,4095
311,4095,4095,4095,1716553,1849,4095,4095
312,4095,4095,4095,1716755,1807,4095,4095
313,4095,4095,4095,1716854,1847,4095,4095
314,4095,4095,4095,1716954,1877,4095,4095
315,4095,4095,4095,1717155,1861,4095,4095
316,4095,4095,4095,1717255,1792,4095,4095
317,4095,4095,4095,1717354,1863,4095,4095
318,4095,4095,4095,1717454,1821,4095,4095
319,4095,4095,4095,1717654,1821,4095,4095
320,4095,4095,4095,1717755,1760,4095,4095
321,4095,4095,4095,1717855,1727,4095,4095
322,4095,4095,4095,1717954,1748,4095,4095
323,4095,4095,4095,1718155,1748,4095,4095
324,4095,4095,4095,1718656,1746,4095,4095
325,4095,4095,4095,1718756,1809,4095,4095
326,4095,4095,4095,1718855,1751,4095,4095
327,4095,4095,4095,1718956,1777,4095,4095
328,4095,4095,4095,1719155,1777,4095,4095
329,4095,4095,4095,1719256,1813,4095,4095
330,4095,4095,4095,1719355,1767,4095,4095
331,4095,4095,4095,1719455,1717,4095,4095
332,4095,4095,4095,1719656,1717,4095,4095
333,4095,4095,4095,1719756,1720,4095,4095
334,4095,4095,4095,1719855,1804,4095,4095
335,4095,4095,4095,1719955,1759,4095,4095
336,4095,4095,4095,1720156,1765,4095,4095
337,4095,4095,4095,1720256,1709,4095,4095
338,4095,4095,4095,1720357,1763,4095,4095
339,4095,4095,4095,1720457,1710,4095,4095
340,4095,4095,4095,1720656,1805,4095,4095
341,4095,4095,4095,1720757,1785,4095,4095
342,4095,4095,4095,1720857,1817,4095,4095
343,4095,4095,4095,1720956,1788,4095,4095
344,4095,4095,4095,1721156,1744,4095,4095
345,4095,4095,4095,1721257,1797,4095,4095
346,4095,4095,4095,1721356,1817,4095,4095
347,4095,4095,4095,1721456,1779,4095,4095
348,4095,4095,4095,1721657,1728,4095,4095
349,4095,4095,4095,1721758,1817,4095,4095
350,4095,4095,4095,1721857,1768,4095,4095
351,4095,4095,4095,1721958,1740,4095,4095
352,4095,4095,4095,1722057,1792,4095,4095
353,4095,4095,4095,1722258,1757,4095,4095
354,4095,4095,4095,1722358,1752,4095,4095
355,4095,4095,4095,1722459,1815,4095,4095
356,4095,4095,4095,1722559,1783,4095,4095
357,4095,4095,4095,1722759,1800,4095,4095
358,4095,4095,4095,1722858,1727,4095,4095
359,4095,4095,4095,1722958,1787,4095,4095
360,4095,4095,4095,1723059,1750,4095,4095
361,4095,4095,4095,1723159,1779,4095,4095
362,4095,4095,4095,1723360,1755,4095,4095
363,4095,4095,4095,1723460,1761,4095,4095
364,4095,4095,4095,1723559,1741,4095,4095
365,4095,4095,4095,1723761,1785,4095,4095
366,4095,4095,4095,1723861,1712,4095,4095
367,4095,4095,4095,1723961,1781,4095,4095
368,4095,4095,4095,1724061,1787,4095,4095
369,4095,4095,4095,1724261,1767,4095,4095
370,4095,4095,4095,1724361,1736,4095,4095
371,4095,4095,4095,1724462,1615,3927,4095
372,4095,4095,4095,1724662,1779,4095,4095
373,4095,4095,4095,1724762,1728,4095,4095
374,4095,4095,4095,1724862,1780,4095,4095
375,4095,4095,4095,1725063,1751,4095,4095
376,4095,4095,4095,1725163,1751,4095,4095
377,4095,4095,4095,1725263,1797,4095,4095
378,4095,4095,4095,1725363,1712,4095,4095
379,4095,4095,4095,1725463,1756,4095,4095
380,4095,4095,4095,1725664,1756,4095,4095
381,4095,4095,4095,1725764,1767,4095,4095
382,4095,4095,4095,1725865,1767,4095,4095
383,4095,4095,4095,1725965,1786,4095,4095
384,4095,4095,4095,1726168,1780,4095,4095
385,4095,4095,4095,1726268,1709,4095,4095
386,4095,4095,4095,1726368,1787,4095,4095
387,4095,4095,4095,1726468,1719,4095,4095
388,4095,4095,4095,1726667,1705,4095,4095
389,4095,4095,4095,1726768,1712,4095,4095
390,4095,4095,4095,1726868,1712,4095,4095
391,4095,4095,4095,1726967,1739,4095,4095
392,4095,4095,4095,1727167,1739,4095,4095
393,4095,4095,4095,1727268,1728,4095,4095
394,4095,4095,4095,1727368,1728,4095,4095
395,4095,4095,4095,1727467,1778,4095,4095
396,4095,4095,4095,1727668,1778,4095,4095
397,4095,4095,4095,1727768,1739,4095,4095
398,4095,4095,4095,1727867,1765,4095,4095
399,4095,4095,4095,1727967,1773,4095,4095
400,4095,4095,4095,1728167,1739,4095,4095
401,4095,4095,4095,1728267,1789,4095,4095
402,4095,4095,4095,1728367,1788,4095,4095
403,4095,4095,4095,1728467,1768,4095,4095
404,4095,4095,4095,1728668,1799,4095,4095
405,4095,4095,4095,1728768,1759,4095,4095
406,4095,4095,4095,1728868,1751,4095,4095
407,4095,4095,4095,1728969,1757,4095,4095
408,4095,4095,4095,1729068,1723,4095,4095
409,4095,4095,4095,1729270,1765,4095,4095
410,4095,4095,4095,1729369,1737,4095,4095
411,4095,4095,4095,1729470,1790,4095,4095
412,4095,4095,4095,1729671,1724,4095,4095
413,4095,4095,4095,1729771,1739,4095,4095
414,4095,4095,4095,1729871,1713,4095,4095
415,4095,4095,4095,1729971,1725,4095,4095
416,4095,4095,4095,1730171,1759,4095,4095
417,4095,4095,4095,1730272,1800,4095,4095
