,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,1308183,1589,4091,4095
1,4095,4095,4095,1308283,1495,4057,4095
2,4095,4095,4095,1308484,1883,4049,4095
3,4095,4095,4095,1308584,2233,1169,4095
4,4095,4095,4095,1308684,1563,4095,4095
5,4095,3440,4095,1308883,4095,3036,3382
6,4095,3498,4095,1308984,4095,4095,4095
7,4095,3485,4095,1309083,4095,4095,4095
8,4095,3652,4095,1309183,4095,4095,4095
9,4095,4095,4095,1309384,4095,4095,4095
10,4095,4095,4095,1309483,4095,4095,4095
11,4095,4095,4095,1309584,1753,4095,4095
12,4095,4095,4095,1309784,2571,4095,4095
13,4095,4075,4095,1309884,4095,4095,4095
14,4095,4095,4095,1310083,4095,4095,4095
15,4095,4095,4095,1310183,4095,4095,4095
16,4095,4095,4095,1310283,4095,4095,4095
17,4095,4095,4095,1310484,1656,4095,4095
18,4095,4095,4095,1310583,3735,4095,4095
19,4095,4095,4095,1310683,4095,4095,4095
20,4095,3623,4095,1310884,4095,4095,4095
21,4095,3576,4095,1310984,4095,4095,4095
22,4095,4095,4095,1311184,4095,4095,4095
23,4095,4095,4095,1311283,4095,4095,4095
24,4095,4095,4095,1311384,4095,4095,4095
25,4095,4095,4095,1311484,1684,4095,4095
26,4095,4095,4095,1311685,4095,4095,4095
27,4095,3507,4095,1311784,4095,4095,4095
28,4095,3568,4095,1311884,4095,4095,4095
29,4095,3927,4095,1311984,4095,4095,4095
30,4095,4095,4095,1312184,4095,4095,4095
31,4095,4095,4095,1312285,4095,4095,4095
32,4095,4095,4095,1312384,4095,4095,4095
33,4095,4095,4095,1312484,4095,3948,4095
34,4095,4095,4095,1312687,4095,4095,4095
35,4095,3976,4095,1312788,4095,4028,4095
36,4095,3977,4095,1312888,4095,4095,4095
37,4095,4095,4095,1312987,4095,4095,4095
38,4095,4095,4095,1313188,4095,4095,4095
39,4095,4095,4095,1313287,4095,4095,4095
40,4095,4095,4095,1313388,2221,4095,4095
41,4095,4095,4095,1313487,2221,4095,4095
42,4095,3527,4095,1313688,4095,4095,4095
43,3964,3420,4095,1313788,4095,4095,4095
44,4095,3847,4095,1313887,4095,4095,4095
45,4095,4095,4095,1313987,4095,4095,4095
46,4095,4095,4095,1314187,4095,4095,4095
47,4095,4095,4095,1314287,2180,4095,4095
48,4095,4095,4095,1314388,2267,4095,4095
49,4095,4095,4095,1314589,3996,4095,4095
50,4095,3760,4095,1314688,4095,4095,4095
51,4095,3807,4095,1314788,4095,4095,4095
52,4095,4095,4095,1314889,4095,4095,4095
53,4095,4095,4095,1315088,4095,4095,4095
54,4095,4095,4095,1315188,4095,3899,4095
55,4095,4095,4095,1315288,4095,3899,4095
56,4095,4095,4095,1315389,4095,4095,4095
57,4095,4095,4095,1315588,4095,4095,4095
58,4095,3872,4095,1315688,4095,4095,4095
59,4095,4061,4095,1315789,4095,4095,4095
60,4095,4095,4095,1315888,4095,4095,4095
61,4095,4095,4095,1315988,4095,4095,4095
62,4095,4095,4095,1316190,4095,4095,4095
63,4095,4095,4095,1316291,2603,4040,4095
64,4095,4095,4095,1316390,2916,4095,4095
65,4095,4095,4095,1316591,3354,4095,4095
66,4095,3681,4095,1316690,4095,4095,4095
67,4095,4047,4095,1316790,4095,4095,4095
68,4095,4095,4095,1316891,4095,4095,4095
