,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,1212780,1971,4095,4095
1,4095,4095,4095,1212980,4095,4095,4095
2,4095,4095,4095,1213080,4095,4095,4095
3,4095,3611,4095,1213180,4095,4095,4057
4,4095,4095,4095,1213281,4095,4095,4095
5,4095,4095,4095,1213482,4095,4095,4095
6,4095,4095,4095,1213582,4095,4095,4095
7,4095,4095,4095,1213682,4095,1803,4095
8,4095,4095,4095,1213782,3785,4095,4095
9,4095,4095,4095,1213982,2329,1151,4095
10,4095,4095,4095,1214082,2163,3197,3509
11,4095,4095,4095,1214182,2190,4095,4095
12,4095,4095,4095,1214283,2085,4095,4095
13,4095,3624,4095,1214485,4095,4095,4095
14,4086,3486,4095,1214584,4095,4095,4095
15,4095,3497,4095,1214684,4095,4095,4095
16,4095,4095,4095,1214887,4095,2042,4095
17,4095,4095,4095,1214987,4095,1783,4095
18,4095,4095,4095,1215088,3049,4095,4095
19,4095,4095,4095,1215188,1203,947,4095
20,4095,4095,4095,1215387,1628,969,4095
21,4095,4095,4095,1215488,1628,969,4095
22,4095,4095,4095,1215588,4095,1063,4095
23,4095,3757,4095,1215689,4095,1063,4095
24,4095,3465,4095,1215888,4095,2519,4095
25,4095,3876,4095,1215988,4095,2519,4095
26,4095,4095,4095,1216088,4095,4095,4095
27,4095,4095,4095,1216188,4095,4095,4095
28,4095,4095,4095,1216389,4095,4095,4095
29,4095,4095,4095,1216489,4095,4095,4095
30,4095,4095,4095,1216589,2270,4013,4095
31,4095,4095,4095,1216689,1819,4095,4095
32,4095,4095,4095,1216888,1877,3960,4095
33,4095,4095,4095,1216988,1877,3960,4095
34,4095,4095,4095,1217089,4095,4095,4095
35,4095,4095,4095,1217288,4095,4095,4095
36,4095,4095,4095,1217388,4095,1584,4095
37,4095,4095,4095,1217488,4095,1584,4095
38,4095,4095,4095,1217589,4095,1559,4095
39,4095,4095,4095,1217788,2715,4095,4095
40,4095,4095,4095,1217889,1612,4095,4095
41,4095,4095,4095,1217989,1997,4095,4095
42,4095,4095,4095,1218188,1820,4095,4095
43,4095,3696,4095,1218288,2263,4040,4095
44,4095,3429,4095,1218388,4095,4027,4095
45,4095,3495,4095,1218588,4095,4095,4095
46,4095,3467,4095,1218689,4095,1971,4095
47,4095,3440,4095,1218789,4095,1909,4095
48,4095,4095,4095,1218889,4095,4095,4095
49,4095,4095,4095,1219089,4095,4095,4095
50,4095,4095,4095,1219189,2072,4095,4095
51,4095,4095,4095,1219290,1684,4095,4095
52,4095,4095,4095,1219390,1816,4095,4095
53,4095,4095,4095,1219590,1683,4095,4095
54,4095,3827,4095,1219691,4095,4095,4095
55,4095,3619,4095,1219790,4095,4095,4095
56,4095,3648,4095,1219891,4095,4095,4095
57,4095,3932,4095,1220091,4095,4095,4095
58,4095,4095,4095,1220191,4095,1911,4095
59,4095,4095,4095,1220291,4095,4095,4095
60,4095,4095,4095,1220391,1869,4095,4095
61,4095,4095,4095,1220592,1515,4095,4095
62,4095,4095,4095,1220693,1755,4095,4095
63,4095,4095,4095,1220793,1764,4000,4095
64,4095,4095,4095,1220892,3849,4029,4095
65,4095,3664,4095,1221092,4095,4027,4095
66,4095,3829,4095,1221192,4095,4095,4095
67,4095,4064,4095,1221293,4095,4095,4095
68,4095,4095,4095,1221493,4095,4095,4095
69,4095,4095,4095,1221594,4095,4095,4095
70,4095,4095,4095,1221694,4095,4095,4095
71,4095,4095,4095,1221794,2684,4095,4095
72,4095,4095,4095,1221995,1691,2396,2988
73,4095,4095,4095,1222095,1620,863,4095
74,4095,4095,4095,1222196,1620,863,4095
75,4095,4095,4095,1222395,1668,936,4095
76,4095,4095,4095,1222496,2833,969,4095
77,4095,4095,4095,1222595,4095,4095,4095
78,4095,3966,4095,1222695,4095,1823,4095
79,4095,4095,4095,1222896,4095,1696,4095
80,4095,4095,4095,1222996,4095,1383,4095
81,4095,4095,4095,1223095,4095,1421,4095
82,4095,4095,4095,1223195,3143,4095,4095
83,4095,4095,4095,1223395,2911,2620,3093
84,4095,4095,4095,1223495,2911,2620,3093
85,4095,4095,4095,1223696,2128,995,4095
86,4095,4095,4095,1223796,2128,995,4095
87,4095,4017,4095,1223897,4095,1661,4095
